ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Human Development Index (2021)
SSD,South Sudan,Low,SSA,191,0.385
STP,Sao Tome and Principe,Medium,SSA,138,0.618
SUR,Suriname,High,LAC,99,0.73
SVK,Slovakia,Very High,,45,0.848
SVN,Slovenia,Very High,,23,0.918
SWE,Sweden,Very High,,7,0.947
SWZ,Eswatini,Medium,SSA,144,0.597
SYC,Seychelles,High,SSA,72,0.785
SYR,Syrian Arab Republic,Medium,AS,150,0.577
TCD,Chad,Low,SSA,190,0.394
TGO,Togo,Low,SSA,162,0.539
THA,Thailand,Very High,EAP,66,0.8
TJK,Tajikistan,Medium,ECA,122,0.685
TKM,Turkmenistan,High,ECA,91,0.745
TLS,Timor-Leste,Medium,EAP,140,0.607
TON,Tonga,High,EAP,91,0.745
TTO,Trinidad and Tobago,Very High,LAC,57,0.81
TUN,Tunisia,High,AS,97,0.731
TUR,Turkey,Very High,ECA,48,0.838
TUV,Tuvalu,Medium,EAP,130,0.641
TZA,Tanzania,Low,SSA,160,0.549
UGA,Uganda,Low,SSA,166,0.525
UKR,Ukraine,High,ECA,77,0.773
URY,Uruguay,Very High,LAC,58,0.809
USA,United States,Very High,,21,0.921
UZB,Uzbekistan,High,ECA,101,0.727
VCT,Saint Vincent and the Grenadines,High,LAC,89,0.751
VEN,Venezuela,Medium,LAC,120,0.691
VNM,Viet Nam,High,EAP,115,0.703
VUT,Vanuatu,Medium,EAP,140,0.607
WSM,Samoa,High,EAP,111,0.707
YEM,Yemen,Low,AS,183,0.455
ZAF,South Africa,High,SSA,109,0.713
ZMB,Zambia,Medium,SSA,154,0.565
ZWE,Zimbabwe,Medium,SSA,146,0.593
